major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
146,8,chol_nb,RK_UPDATE_A_8_9,VECTOR_MAC,8,8.00,1.00,1.00,1.00,RK_UPDATE_8_9_0|RK_UPDATE_8_9_1|RK_UPDATE_8_9_2|RK_UPDATE_8_9_3|RK_UPDATE_8_9_4|RK_UPDATE_8_9_5|RK_UPDATE_8_9_6|RK_UPDATE_8_9_7
147,8,chol_nb,TRSM_8_0,VECTOR_MUL,1,1.00,1.00,1.00,1.00,TRSM_MUL_8_0
148,8,chol_nb,TRSM_8_1,VECTOR_MAC|VECTOR_MUL,2,2.00,1.00,1.00,1.00,TRSM_MUL_8_1|TRSM_NUM_UPD_8_1_0
149,8,chol_nb,TRSM_8_2,VECTOR_MAC|VECTOR_MUL,3,3.00,1.00,1.00,1.00,TRSM_MUL_8_2|TRSM_NUM_UPD_8_2_0|TRSM_NUM_UPD_8_2_1
150,8,chol_nb,TRSM_8_3,VECTOR_MAC|VECTOR_MUL,4,4.00,1.00,1.00,1.00,TRSM_MUL_8_3|TRSM_NUM_UPD_8_3_0|TRSM_NUM_UPD_8_3_1|TRSM_NUM_UPD_8_3_2
151,8,chol_nb,TRSM_8_4,VECTOR_MAC|VECTOR_MUL,5,5.00,1.00,1.00,1.00,TRSM_MUL_8_4|TRSM_NUM_UPD_8_4_0|TRSM_NUM_UPD_8_4_1|TRSM_NUM_UPD_8_4_2|TRSM_NUM_UPD_8_4_3
152,8,chol_nb,TRSM_8_5,VECTOR_MAC|VECTOR_MUL,6,6.00,1.00,1.00,1.00,TRSM_MUL_8_5|TRSM_NUM_UPD_8_5_0|TRSM_NUM_UPD_8_5_1|TRSM_NUM_UPD_8_5_2|TRSM_NUM_UPD_8_5_3|TRSM_NUM_UPD_8_5_4
153,8,chol_nb,TRSM_8_6,VECTOR_MAC|VECTOR_MUL,7,7.00,1.00,1.00,1.00,TRSM_MUL_8_6|TRSM_NUM_UPD_8_6_0|TRSM_NUM_UPD_8_6_1|TRSM_NUM_UPD_8_6_2|TRSM_NUM_UPD_8_6_3|TRSM_NUM_UPD_8_6_4|TRSM_NUM_UPD_8_6_5
154,8,chol_nb,TRSM_8_7,VECTOR_MAC|VECTOR_MUL,8,8.00,1.00,1.00,1.00,TRSM_MUL_8_7|TRSM_NUM_UPD_8_7_0|TRSM_NUM_UPD_8_7_1|TRSM_NUM_UPD_8_7_2|TRSM_NUM_UPD_8_7_3|TRSM_NUM_UPD_8_7_4|TRSM_NUM_UPD_8_7_5|TRSM_NUM_UPD_8_7_6
155,8,chol_nb,TRSM_DIAG_8,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_8
156,9,chol_nb,POTRF_DIAG_9,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_9
157,9,chol_nb,POTRF_DIAG_A_9_9,VECTOR_MAC,9,9.00,1.00,1.00,1.00,POTRF_DIAG_UPD_9_0|POTRF_DIAG_UPD_9_1|POTRF_DIAG_UPD_9_2|POTRF_DIAG_UPD_9_3|POTRF_DIAG_UPD_9_4|POTRF_DIAG_UPD_9_5|POTRF_DIAG_UPD_9_6|POTRF_DIAG_UPD_9_7|POTRF_DIAG_UPD_9_8
158,9,chol_nb,RK_UPDATE_A_9_10,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_10_0|RK_UPDATE_9_10_1|RK_UPDATE_9_10_2|RK_UPDATE_9_10_3|RK_UPDATE_9_10_4|RK_UPDATE_9_10_5|RK_UPDATE_9_10_6|RK_UPDATE_9_10_7|RK_UPDATE_9_10_8
159,9,chol_nb,RK_UPDATE_A_9_11,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_11_0|RK_UPDATE_9_11_1|RK_UPDATE_9_11_2|RK_UPDATE_9_11_3|RK_UPDATE_9_11_4|RK_UPDATE_9_11_5|RK_UPDATE_9_11_6|RK_UPDATE_9_11_7|RK_UPDATE_9_11_8
160,9,chol_nb,RK_UPDATE_A_9_12,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_12_0|RK_UPDATE_9_12_1|RK_UPDATE_9_12_2|RK_UPDATE_9_12_3|RK_UPDATE_9_12_4|RK_UPDATE_9_12_5|RK_UPDATE_9_12_6|RK_UPDATE_9_12_7|RK_UPDATE_9_12_8
161,9,chol_nb,RK_UPDATE_A_9_13,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_13_0|RK_UPDATE_9_13_1|RK_UPDATE_9_13_2|RK_UPDATE_9_13_3|RK_UPDATE_9_13_4|RK_UPDATE_9_13_5|RK_UPDATE_9_13_6|RK_UPDATE_9_13_7|RK_UPDATE_9_13_8
162,9,chol_nb,RK_UPDATE_A_9_14,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_14_0|RK_UPDATE_9_14_1|RK_UPDATE_9_14_2|RK_UPDATE_9_14_3|RK_UPDATE_9_14_4|RK_UPDATE_9_14_5|RK_UPDATE_9_14_6|RK_UPDATE_9_14_7|RK_UPDATE_9_14_8
163,9,chol_nb,RK_UPDATE_A_9_15,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_15_0|RK_UPDATE_9_15_1|RK_UPDATE_9_15_2|RK_UPDATE_9_15_3|RK_UPDATE_9_15_4|RK_UPDATE_9_15_5|RK_UPDATE_9_15_6|RK_UPDATE_9_15_7|RK_UPDATE_9_15_8
164,9,chol_nb,RK_UPDATE_A_9_9,VECTOR_MAC,9,9.00,1.00,1.00,1.00,RK_UPDATE_9_9_0|RK_UPDATE_9_9_1|RK_UPDATE_9_9_2|RK_UPDATE_9_9_3|RK_UPDATE_9_9_4|RK_UPDATE_9_9_5|RK_UPDATE_9_9_6|RK_UPDATE_9_9_7|RK_UPDATE_9_9_8
165,9,chol_nb,TRSM_9_0,VECTOR_MUL,1,1.00,1.00,1.00,1.00,TRSM_MUL_9_0
166,9,chol_nb,TRSM_9_1,VECTOR_MAC|VECTOR_MUL,2,2.00,1.00,1.00,1.00,TRSM_MUL_9_1|TRSM_NUM_UPD_9_1_0
167,9,chol_nb,TRSM_9_2,VECTOR_MAC|VECTOR_MUL,3,3.00,1.00,1.00,1.00,TRSM_MUL_9_2|TRSM_NUM_UPD_9_2_0|TRSM_NUM_UPD_9_2_1
168,9,chol_nb,TRSM_9_3,VECTOR_MAC|VECTOR_MUL,4,4.00,1.00,1.00,1.00,TRSM_MUL_9_3|TRSM_NUM_UPD_9_3_0|TRSM_NUM_UPD_9_3_1|TRSM_NUM_UPD_9_3_2
169,9,chol_nb,TRSM_9_4,VECTOR_MAC|VECTOR_MUL,5,5.00,1.00,1.00,1.00,TRSM_MUL_9_4|TRSM_NUM_UPD_9_4_0|TRSM_NUM_UPD_9_4_1|TRSM_NUM_UPD_9_4_2|TRSM_NUM_UPD_9_4_3
170,9,chol_nb,TRSM_9_5,VECTOR_MAC|VECTOR_MUL,6,6.00,1.00,1.00,1.00,TRSM_MUL_9_5|TRSM_NUM_UPD_9_5_0|TRSM_NUM_UPD_9_5_1|TRSM_NUM_UPD_9_5_2|TRSM_NUM_UPD_9_5_3|TRSM_NUM_UPD_9_5_4
171,9,chol_nb,TRSM_9_6,VECTOR_MAC|VECTOR_MUL,7,7.00,1.00,1.00,1.00,TRSM_MUL_9_6|TRSM_NUM_UPD_9_6_0|TRSM_NUM_UPD_9_6_1|TRSM_NUM_UPD_9_6_2|TRSM_NUM_UPD_9_6_3|TRSM_NUM_UPD_9_6_4|TRSM_NUM_UPD_9_6_5
172,9,chol_nb,TRSM_9_7,VECTOR_MAC|VECTOR_MUL,8,8.00,1.00,1.00,1.00,TRSM_MUL_9_7|TRSM_NUM_UPD_9_7_0|TRSM_NUM_UPD_9_7_1|TRSM_NUM_UPD_9_7_2|TRSM_NUM_UPD_9_7_3|TRSM_NUM_UPD_9_7_4|TRSM_NUM_UPD_9_7_5|TRSM_NUM_UPD_9_7_6
173,9,chol_nb,TRSM_9_8,VECTOR_MAC|VECTOR_MUL,9,9.00,1.00,1.00,1.00,TRSM_MUL_9_8|TRSM_NUM_UPD_9_8_0|TRSM_NUM_UPD_9_8_1|TRSM_NUM_UPD_9_8_2|TRSM_NUM_UPD_9_8_3|TRSM_NUM_UPD_9_8_4|TRSM_NUM_UPD_9_8_5|TRSM_NUM_UPD_9_8_6|TRSM_NUM_UPD_9_8_7
174,9,chol_nb,TRSM_DIAG_9,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIAG_INV_9
175,10,chol_nb,POTRF_DIAG_10,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_10
