step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
68,3,ldl_block,L_UPDATE_3_0,L_UPDATE_3_0_PACK2,MatMul,MATMUL,"L_{3,0} = A_{3,0} @ Dinv_{0}",4*4*4*4,32.00,LDL_L_UPDATE_3_0_PACK2,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
69,3,ldl_block,L_UPDATE_3_2,L_UPDATE_3_2_PACK2,MatMul,MATMUL,"L_{3,2} = A_{3,2} @ Dinv_{2}",4*4*4*4,32.00,LDL_L_UPDATE_3_2_PACK2,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
70,4,ldl_block,BWD_DIAG_4,BWD_DIAG_ACC_4_0,Add,VECTOR_ADD,"X_{4,4}^0 = Dinv + T_{4,4}^0",2*2,1.00,LDL_BWD_DIAG_ACC_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
71,4,ldl_block,BWD_DIAG_4,BWD_DIAG_MUL_4_0,MatMul,MATMUL,"T_{4,4}^0 = L @ X",2*(U-5*2)*2,1.00,LDL_BWD_DIAG_MUL_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
72,4,ldl_block,BWD_OFF_4_5,BWD_OFF_ACC_4_5_0,Add,VECTOR_ADD,"X_{4,5}^0 = X_{4,5} + T_{4,5}^0",2*2,1.00,LDL_BWD_OFF_ACC_4_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
73,4,ldl_block,BWD_OFF_4_6,BWD_OFF_ACC_4_6_0,Add,VECTOR_ADD,"X_{4,6}^0 = X_{4,6} + T_{4,6}^0",2*2,1.00,LDL_BWD_OFF_ACC_4_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
74,4,ldl_block,BWD_OFF_4_7,BWD_OFF_ACC_4_7_0,Add,VECTOR_ADD,"X_{4,7}^0 = X_{4,7} + T_{4,7}^0",2*2,1.00,LDL_BWD_OFF_ACC_4_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
75,4,ldl_block,BWD_OFF_4_5,BWD_OFF_MUL_4_5_0,MatMul,MATMUL,"T_{4,5}^0 = L @ X",2*(U-5*2)*2,1.00,LDL_BWD_OFF_MUL_4_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
76,4,ldl_block,BWD_OFF_4_6,BWD_OFF_MUL_4_6_0,MatMul,MATMUL,"T_{4,6}^0 = L @ X",2*(U-5*2)*2,1.00,LDL_BWD_OFF_MUL_4_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
77,4,ldl_block,BWD_OFF_4_7,BWD_OFF_MUL_4_7_0,MatMul,MATMUL,"T_{4,7}^0 = L @ X",2*(U-5*2)*2,1.00,LDL_BWD_OFF_MUL_4_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
78,4,ldl_block,D_BLOCK_4,D_DIAG_INV_4,Div,SCALAR_DIV,Dinv_{4} = 1 / D_{4},2*2,4.00,LDL_D_DIAG_INV_4,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
79,4,ldl_block,D_BLOCK_4,D_INV_MUL_4,Mul,VECTOR_MUL,DinvBlk_{4} = D_{4} * Dinv_{4},2*2,1.00,LDL_D_INV_MUL_4,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
