major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
122,7,ldl_noblock,BWD_OFF_7_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_10_0|BWD_OFF_MUL_7_10_0
123,7,ldl_noblock,BWD_OFF_7_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_11_0|BWD_OFF_MUL_7_11_0
124,7,ldl_noblock,BWD_OFF_7_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_12_0|BWD_OFF_MUL_7_12_0
125,7,ldl_noblock,BWD_OFF_7_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_13_0|BWD_OFF_MUL_7_13_0
126,7,ldl_noblock,BWD_OFF_7_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_14_0|BWD_OFF_MUL_7_14_0
127,7,ldl_noblock,BWD_OFF_7_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_15_0|BWD_OFF_MUL_7_15_0
128,7,ldl_noblock,BWD_OFF_7_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_8_0|BWD_OFF_MUL_7_8_0
129,7,ldl_noblock,BWD_OFF_7_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_7_9_0|BWD_OFF_MUL_7_9_0
130,7,ldl_noblock,D_BLOCK_7,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_7|D_INV_MUL_7|D_UPDATE_7
131,7,ldl_noblock,L_UPDATE_7_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_0_PACK1
132,7,ldl_noblock,L_UPDATE_7_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_1_PACK1
133,7,ldl_noblock,L_UPDATE_7_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_2_PACK1
134,7,ldl_noblock,L_UPDATE_7_3,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_3_PACK1
135,7,ldl_noblock,L_UPDATE_7_4,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_4_PACK1
136,7,ldl_noblock,L_UPDATE_7_5,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_5_PACK1
137,7,ldl_noblock,L_UPDATE_7_6,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_7_6_PACK1
138,8,ldl_noblock,BWD_DIAG_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_8_0|BWD_DIAG_MUL_8_0
139,8,ldl_noblock,BWD_OFF_8_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_10_0|BWD_OFF_MUL_8_10_0
140,8,ldl_noblock,BWD_OFF_8_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_11_0|BWD_OFF_MUL_8_11_0
141,8,ldl_noblock,BWD_OFF_8_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_12_0|BWD_OFF_MUL_8_12_0
142,8,ldl_noblock,BWD_OFF_8_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_13_0|BWD_OFF_MUL_8_13_0
143,8,ldl_noblock,BWD_OFF_8_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_14_0|BWD_OFF_MUL_8_14_0
144,8,ldl_noblock,BWD_OFF_8_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_15_0|BWD_OFF_MUL_8_15_0
145,8,ldl_noblock,BWD_OFF_8_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_8_9_0|BWD_OFF_MUL_8_9_0
146,8,ldl_noblock,D_BLOCK_8,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_8|D_INV_MUL_8|D_UPDATE_8
147,8,ldl_noblock,L_UPDATE_8_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_0_PACK1
148,8,ldl_noblock,L_UPDATE_8_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_1_PACK1
149,8,ldl_noblock,L_UPDATE_8_2,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_2_PACK1
150,8,ldl_noblock,L_UPDATE_8_3,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_3_PACK1
151,8,ldl_noblock,L_UPDATE_8_4,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_4_PACK1
152,8,ldl_noblock,L_UPDATE_8_5,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_5_PACK1
153,8,ldl_noblock,L_UPDATE_8_6,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_6_PACK1
154,8,ldl_noblock,L_UPDATE_8_7,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_8_7_PACK1
155,9,ldl_noblock,BWD_DIAG_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_9_0|BWD_DIAG_MUL_9_0
156,9,ldl_noblock,BWD_OFF_9_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_9_10_0|BWD_OFF_MUL_9_10_0
