step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
1656,CHOL_NB_TRSM_NUM_UPD_15_6_0,Vector,96,1.00,1.00,1,1,96,2143,12207
1657,CHOL_NB_TRSM_NUM_UPD_15_6_1,Vector,96,1.00,1.00,1,1,96,2145,12209
1658,CHOL_NB_TRSM_NUM_UPD_15_6_2,Vector,96,1.00,1.00,1,1,96,2147,12211
1659,CHOL_NB_TRSM_NUM_UPD_15_6_3,Vector,96,1.00,1.00,1,1,96,2149,12213
1660,CHOL_NB_TRSM_NUM_UPD_15_6_4,Vector,96,1.00,1.00,1,1,96,2151,12215
1661,CHOL_NB_TRSM_NUM_UPD_15_6_5,Vector,96,1.00,1.00,1,1,96,2153,12217
1662,CHOL_NB_TRSM_NUM_UPD_15_7_0,Vector,96,1.00,1.00,1,1,96,2382,12446
1663,CHOL_NB_TRSM_NUM_UPD_15_7_1,Vector,96,1.00,1.00,1,1,96,2384,12448
1664,CHOL_NB_TRSM_NUM_UPD_15_7_2,Vector,96,1.00,1.00,1,1,96,2386,12450
1665,CHOL_NB_TRSM_NUM_UPD_15_7_3,Vector,96,1.00,1.00,1,1,96,2388,12452
1666,CHOL_NB_TRSM_NUM_UPD_15_7_4,Vector,96,1.00,1.00,1,1,96,2390,12454
1667,CHOL_NB_TRSM_NUM_UPD_15_7_5,Vector,96,1.00,1.00,1,1,96,2392,12456
1668,CHOL_NB_TRSM_NUM_UPD_15_7_6,Vector,96,1.00,1.00,1,1,96,2394,12458
1669,CHOL_NB_TRSM_NUM_UPD_15_8_0,Vector,96,1.00,1.00,1,1,96,2603,12667
1670,CHOL_NB_TRSM_NUM_UPD_15_8_1,Vector,96,1.00,1.00,1,1,96,2605,12669
1671,CHOL_NB_TRSM_NUM_UPD_15_8_2,Vector,96,1.00,1.00,1,1,96,2607,12671
1672,CHOL_NB_TRSM_NUM_UPD_15_8_3,Vector,96,1.00,1.00,1,1,96,2609,12673
1673,CHOL_NB_TRSM_NUM_UPD_15_8_4,Vector,96,1.00,1.00,1,1,96,2611,12675
1674,CHOL_NB_TRSM_NUM_UPD_15_8_5,Vector,96,1.00,1.00,1,1,96,2613,12677
1675,CHOL_NB_TRSM_NUM_UPD_15_8_6,Vector,96,1.00,1.00,1,1,96,2615,12679
1676,CHOL_NB_TRSM_NUM_UPD_15_8_7,Vector,96,1.00,1.00,1,1,96,2617,12681
1677,CHOL_NB_TRSM_NUM_UPD_15_9_0,Vector,96,1.00,1.00,1,1,96,2804,12868
1678,CHOL_NB_TRSM_NUM_UPD_15_9_1,Vector,96,1.00,1.00,1,1,96,2806,12870
1679,CHOL_NB_TRSM_NUM_UPD_15_9_2,Vector,96,1.00,1.00,1,1,96,2808,12872
1680,CHOL_NB_TRSM_NUM_UPD_15_9_3,Vector,96,1.00,1.00,1,1,96,2810,12874
1681,CHOL_NB_TRSM_NUM_UPD_15_9_4,Vector,96,1.00,1.00,1,1,96,2812,12876
1682,CHOL_NB_TRSM_NUM_UPD_15_9_5,Vector,96,1.00,1.00,1,1,96,2814,12878
1683,CHOL_NB_TRSM_NUM_UPD_15_9_6,Vector,96,1.00,1.00,1,1,96,2816,12880
1684,CHOL_NB_TRSM_NUM_UPD_15_9_7,Vector,96,1.00,1.00,1,1,96,2818,12882
1685,CHOL_NB_TRSM_NUM_UPD_15_9_8,Vector,96,1.00,1.00,1,1,96,2820,12884
1686,CHOL_NB_TRSM_NUM_UPD_2_1_0,Vector,96,1.00,1.00,1,1,96,421,8036
1687,CHOL_NB_TRSM_NUM_UPD_3_1_0,Vector,96,1.00,1.00,1,1,96,698,8305
1688,CHOL_NB_TRSM_NUM_UPD_3_2_0,Vector,96,1.00,1.00,1,1,96,975,11039
1689,CHOL_NB_TRSM_NUM_UPD_3_2_1,Vector,96,1.00,1.00,1,1,96,977,11041
1690,CHOL_NB_TRSM_NUM_UPD_4_1_0,Vector,96,1.00,1.00,1,1,96,704,8578
